Pembicara,Tema,Menit,Teks
Prabowo,Teknologi Informasi,1.11.09,berurusan dengan sumber daya manusia kita harus sekarang mendidik anak-anak
Prabowo,Teknologi Informasi,1.11.15,kita lebih banyak di Bidang sains tenolog enginering matematik ini
Prabowo,Teknologi Informasi,1.11.21,sangat mutlak baru kita bisa bersaing kalau kita tidak punya awaknya Bagaimana jadi
Prabowo,Teknologi Informasi,1.11.34,di Bidang sains teknologi engineering dan mathematics kita ambil yang terpintar dari Indonesia kita kirim ke
Prabowo,Teknologi Informasi,1.11.41,luar negeri kita bangun fakultas-fakultas stem yang lebih banyak lagi di Indonesia baru kita rebut
Prabowo,Teknologi Informasi,1.11.47,teknologi saudara-saudara dan yang penting kehendak politik ya Bangun pabrik itu Saya kira itu saja
Moderator,Teknologi Informasi,1.11.55,mohon tenang hadirin sekalian Harap tenang terlebih
Moderator,Teknologi Informasi,1.12.02,dahulul tolong tenang selanjutnya calon Presiden nomor 3 bapak ganjar untuk
Moderator,Teknologi Informasi,1.12.07,menanggapi atas jawaban yang disampaikan oleha bapak anis rasyid baswedan silakan bapak Ganjar waktu bapak 1 menit
Moderator,Teknologi Informasi,1.12.12,dimulai saat Bapak berbicara
Ganjar,Teknologi Informasi,1.12.18,kita punya industri swasta untuk gadget pabriknya ada di semarang harganya terjangkau lebih murah kalau itu bisa masuk ikatan kita sebenarnya kita bisa membantu
Ganjar,Teknologi Informasi,1.12.25,dia atau yang kedua kita bisa menugaskan kepada PT lain kalau enggak salah dulu
Ganjar,Teknologi Informasi,1.12.30,pernah akan dibuat ini satu komputer satu laptop seharga maksimum 1 juta
Ganjar,Teknologi Informasi,1.12.36,Sayang kalau ini tidak kita pastikan tanpa penugasan dari pemerintah maka tidak pernah selesai kalau tidak
Ganjar,Teknologi Informasi,1.12.43,pilihannya adalah bergandengan tangan dengan industri yang ada di luar dengan brand-brand internasional tapi pabriknya
Ganjar,Teknologi Informasi,1.12.50,di Indonesia politik ini kalau kita mau komparasikan di India pernah dilakukan
Ganjar,Teknologi Informasi,1.12.56,sehingga apa transformasi eh pengetahuannya teknologinya semua
Ganjar,Teknologi Informasi,1.13.02,akan bisa dilakukan dan kita akan mendapatkan nilai tambah Gen kita akan ditambahkan di situ kita ee bisa
Ganjar,Teknologi Informasi,1.13.09,melakukan tindakan-tindakan untuk mencapai kemandirian sehingga kelak kemudian kita tidak terlalu bergantung
Moderator,Teknologi Informasi,1.13.16,saatnya calon Presiden nomor urut 1 Bapak anis rasyid baswedan untuk merespon tanggapan calon Presiden nomor
Moderator,Teknologi Informasi,1.13.22,urut 2 dan juga nomor urut 3 silakan Bapak Anis waktu Bapak 1 menit dimulai saat Bapak 
Anis,Teknologi Informasi,1.13.30,Berbicara tadi saya sampaikan garis besar gagasan untuk kita bisa membangunnya ketika sampai kepada kegiatan praktis maka
Anis,Teknologi Informasi,1.13.37,pendekatannya kolaboratif negara adalah regulator dan negara memberikan
Anis,Teknologi Informasi,1.13.44,ekosistem yang sehat Panggil pelaku yang selama ini terlibat baik swasta maupun
Anis,Teknologi Informasi,1.13.51,BUMN sampaikan ada kebutuhan membangun pabrik telepon seluler tanya apa yang
Anis,Teknologi Informasi,1.13.59,dibutuhkan dari negara yang dibutuhkan apa apakah perizinan Apakah dana Apakah
Anis,Teknologi Informasi,1.14.05,keleluasaan pajak semua yang menjadi kebutuhan diberikan tapi pelakunya tetap
Anis,Teknologi Informasi,1.14.12,swasta ataupun BUMN jadi fungsi kita ketika bicara membangun bukan negara yang membangun tapi memberikan pada BUMN
Anis,Teknologi Informasi,1.14.19,atau swasta dan yang sudah bergerak di situ siapkan infrastrukturnya beri target waktunya lalu eksekusi tunggu peresmiannya Terima kasih
Moderator,Kebudayaan,1.14.26,berikutnya pertanyaan untuk calon
Moderator,Kebudayaan,1.14.33,Presiden nomor urut 2 Bapak Prabowo Subianto untuk itu kami persilakan panelis profesor emeritus spialis Maria
Moderator,Kebudayaan,1.14.40,Laksono PHD untuk dapat mengambil subtema pertanyaan Bapak yang sudah
Moderator,Kebudayaan,1.14.45,tersedia di wadah kami mohon untuk menunjukkan subtema tersebut kepada masing-masing
Moderator,Kebudayaan,1.14.52,calon presiden dan juga ke kami moderator
Moderator,Kebudayaan,1.15.07,subtemanya adalah kebudayaan kami akan undang selanjutnya
Moderator,Kebudayaan,1.15.14,Bapak Imam Prasojo untuk mengambil undian daftar pertanyaan dari
Moderator,Kebudayaan,1.15.20,fisbol apakah huruf a b atau C
Moderator,Kebudayaan,1.15.31,huruf C kebudayaan ya Ini dia pertanyaannya masih tersegel dan kita akan buka pertanyaan
Moderator,Kebudayaan,1.15.38,hanya akan dibacakan satu kali harap disimak dengan baik
Moderator,Kebudayaan,1.15.47,oke budaya akan tumbuh berkembang dalam komunitas responsif yakni tiap individu
Moderator,Kebudayaan,1.15.54,memiliki ruang kebebasan berkreasi dan tanggung jawab sosial undang-undang
Moderator,Kebudayaan,1.15.59,pemajuan kebudayaan telah terdistorsi oleh birokratisasi dan komersialisasi
Moderator,Kebudayaan,1.16.06,budaya pertanyaannya Apa pandangan dan sikap paslon terhadap komersialisasi budaya
Moderator,Kebudayaan,1.16.13,dan proses destruktif terhadap tumbuhnya kebudayaan yang responsif silakan dijawab Bapak Prabowo
Moderator,Kebudayaan,1.16.20,waktunya 2 menit dimulai dari anda berbicara
Prabowo,Kebudayaan,1.16.25,Terima kasih Budaya adalah sangat penting Budaya adalah karakter bangsa tanpa kita membanggakan menghormati
Prabowo,Kebudayaan,1.16.34,melestarikan budaya kita sendiri kita hilang jati diri kita sebagai bangsa
Prabowo,Kebudayaan,1.16.39,semua bidang harus kita bantu kita lindungi kami Prabu Gibran merencanakan
Prabowo,Kebudayaan,1.16.45,ada dana Abadi budaya untuk memberi dorongan dukungan untuk semua
Prabowo,Kebudayaan,1.16.53,aktor-aktor pelaku-pelaku budaya kita di semua bidang ini adalah mutlak bagi kita
Prabowo,Kebudayaan,1.17.01,budaya kita sebagai contoh pencasilat bela diri warisan
Prabowo,Kebudayaan,1.17.06,nenek moyang kita saya sendiri sudah 37 tahun mengurusi pencak silat belum lagi
Prabowo,Kebudayaan,1.17.14,budaya-budaya lain seperti sendra tari
Prabowo,Kebudayaan,1.17.20,seperti wayang kulit wayang orang wayang golek dan segala macam ee musik
Prabowo,Kebudayaan,1.17.27,kita ee ini selalu harus pemerintah eh saya agak berbeda saya tidak ikut
Prabowo,Kebudayaan,1.17.35,paham-paham newolip bahwa pemerintah bukan hanya regulator pemerintah di
Prabowo,Kebudayaan,1.17.41,depan pelopor intervensi Bila perlu bekerja untuk rakyat membantu Dari bidang
Prabowo,Kebudayaan,1.17.47,budaya pemerintah juga harus di depan menjaga melestarikan semua budaya kita
Prabowo,Kebudayaan,1.17.53,di semua bidang Terima kasih selesai
Moderator,Kebudayaan,1.18.00,masih ada waktunya Masih Ada Waktu Pak Prabowo cukup baik Cukup Cukup silakan saya persilakan untuk capres nomor uut 3 Pak Ganjar pranowo menanggapi jawaban
Moderator,Kebudayaan,1.18.05,dari Pak Prabowo waktunya 1 menit dimulai dari Anda berbicara silakan
Ganjar,Kebudayaan,1.18.11,kalau benturannya antara budaya dan birokrasi maka sikap birokrat birokrat itu cukup fasilitasi saja dan para
Ganjar,Kebudayaan,1.18.17,pelaku seni budayawan dialah yang mengerjakan maka budaya akan tumbuh dan
Ganjar,Kebudayaan,1.18.23,pemerintah akan bisa melihat Bagaimana proses kreatif itu berjalan Apakah itu
Ganjar,Kebudayaan,1.18.29,nyanyi apakah itu Film makers apakah itu para pencipta penulis buku semuanya
Ganjar,Kebudayaan,1.18.35,sehingga terhadap mereka perlu dilindungi tapi berikan itu kepada mereka agar mereka bisa mengurus sendiri
Ganjar,Kebudayaan,1.18.41,kalaulah Mereka kemudian berekspresi pemerintah enggak perlu takut masa takut sama pentasnya Butet kamu boleh loh
Ganjar,Kebudayaan,1.18.49,pentas tapi gak usah ngomong politik enggak pemerintah mesti kritik pemerintah mesti waras pemerintah mesti
Ganjar,Kebudayaan,1.18.55,dalam trek dan biarkan mereka mengekspresikan dengan seninya dengan karakternya dengan budayanya dan kita
Ganjar,Kebudayaan,1.19.02,cukup fasilitasi mereka yang akan mengerjakan begitu birokrasi tinggal duduk untuk melihat hasilnya
Moderator,Kebudayaan,1.19.09,Ya Selanjutnya kami berikan kesempatan
Moderator,Kebudayaan,1.19.15,untuk capres nomor urut 1 Pak Anis menanggapi jawaban Pak Prabowo 1 menit waktunya dimulai dari Anda berbicara
Anis,Kebudayaan,1.19.23,kekayaan Indonesia adalah Justru pada kebudayaannya dan kebudayaan itu bukan
Anis,Kebudayaan,1.19.28,satu sektor pembangunan tapi justru seluruh kegiatan pembangunan ini
Anis,Kebudayaan,1.19.34,tujuannya adalah membangun kebudayaan jadi tujuan dari seluruh sektor
Anis,Kebudayaan,1.19.40,pembangunan membangun kebudayaan karena itu yang harus dikerjakan pemerintah adalah menciptakan ekosistem yang sehat
Anis,Kebudayaan,1.19.47,sehingga para budayawan bisa memunculkan ekspresinya dan budaya itu bukan hanya
Anis,Kebudayaan,1.19.54,dirawat kalau dirawat seakan-akan dia warisan masa lalu saja budaya itu harus dikembangkan sehingga terus-menerus
Anis,Kebudayaan,1.20.00,berkembang karena itu kami melihat perlu dibentuk dan kami berencana Kementerian
Anis,Kebudayaan,1.20.07,Kebudayaan yang nantinya akan menjadi penyalur sumber daya dari negara untuk
Anis,Kebudayaan,1.20.14,diberikan kepada kalangan budayawan agar mereka tumbuh berkembang membangun
Anis,Kebudayaan,1.20.19,karya-karya kebudayaan yang luar biasa di Indonesia Terima kasih
Moderator,Kebudayaan,1.20.25,kini giliran Pak Prabowo Subianto untuk merespon tanggapan ini waktunya 1 menit silakan Pak prabowo
Prabowo,Kebudayaan,1.20.31,eh saya kira kedua respons itu eh masuk akal saya bisa menerima dua
Prabowo,Kebudayaan,1.20.38,respons itu memang eh banyak benarnya Ya kita harus benar-benar memberi ruang
Prabowo,Kebudayaan,1.20.45,untuk inisiatif untuk inovasi kreativitas tapi jelas eh pemerintah
Prabowo,Kebudayaan,1.20.51,harus tidak ragu-ragu dan pemerintah harus berani untuk juga turun tangan
Prabowo,Kebudayaan,1.20.58,menjaga situs-situs membantu museum-museum membantu istana-istana sultan-sultan
Prabowo,Kebudayaan,1.21.06,kita yang banyak sudah mau roboh ini harus kita bantu ini warisan budaya
Prabowo,Kebudayaan,1.21.12,warisan sejarah kita hal-hal seperti itu harus kita perhatikan tapi saya bisa menerima Saya juga setuju itu kalau saya
Prabowo,Kebudayaan,1.21.20,jadi Presiden saya memikirkan Kementerian
Prabowo,Kebudayaan,1.21.26,Kebudayaan kalau ide yang baik dari manapun saya bisa terima dan Saya dukung Terima kasih
Moderator,Pendidikan,1.21.31,Sekarang kami berikan kesempatan untuk memberikan applause bagi masing-masing capresnya dan kami masih akan melanjutkan mempertajam
Moderator,Pendidikan,1.21.45,visi misi dan program kerja calon presiden usai Jeda di segmen selanjutnya tetaplah di debat kelima calon presiden pemilu tahun 2024
Moderator,Pendidikan,1.28.46,pemirsa anda kembali menyaksikan debat kelima calon presiden Pemilu tahun 2024
Moderator,Pendidikan,1.29.00,di segmen kali ini pemirsa calon presiden masih
Moderator,Pendidikan,1.29.06,akan menjawab pertanyaan yang telah dibuat oleh tim panelis sesuai sub tema pendidikan
Moderator,Pendidikan,1.29.12,kesehatan ketenagerjaan kebudayaan
Moderator,Pendidikan,1.29.20,teknologi informasi Kesejahteraan Sosial dan inklusi kami kembali mengundang ketiga calon presiden untuk menuju ke podium
Moderator,Pendidikan,1.29.34,masing-masing dan pada segmen Ini pertanyaan akan dimulai dari calon Presiden nomor urut 1 Bapak Anis rasyid baswedan
Moderator,Pendidikan,1.29.40,kami kemudian akan mengundang Bapak Ono Widodo Purbo PHD mengambil dan
Moderator,Pendidikan,1.29.48,memperlihatkan subtema yang dipilih
Moderator,Pendidikan,1.30.05,ya subtemanya pendidikan untuk selanjutnya baik pendidikan
Moderator,Pendidikan,1.30.11,akan kami undang Selanjutnya Ibu Reni kusumardani MC psikolog untuk mengambil daftar
Moderator,Pendidikan,1.30.16,pertanyaan dari fisbol
Moderator,Pendidikan,1.30.25,bisa diperhatkan ke moderator huruf a baik
Moderator,Pendidikan,1.30.31,ini pendidikan huruf a berikut ini posisi amplopnya masih
Moderator,Pendidikan,1.30.36,posisi tersegel hadirin sekalian Sekali lagi kami ingatkan
Moderator,Pendidikan,1.30.43,kepada calon presiden untuk mendengarkan secara seksama karena pertanyaan ini hanya akan dibacakan satu kali
Moderator,Pendidikan,1.30.50,pertanyan untuk nomor urut 1 Bapak Anis Rasyid baswedan dengan subtema
Moderator,Pendidikan,1.30.57,pendidikan tanggung jawab guru dan dosen makin berat namun kontribusinya kurang
Moderator,Pendidikan,1.31.04,dihargai meskipun anggaran pendidikan mencapai 20%
Moderator,Pendidikan,1.31.09,APBN kualitas pendidikan terhambat oleh kecilnya gaji minimnya fasilitas dan
Moderator,Pendidikan,1.31.17,beban administrasi yang berlebihan pertanyaannya Bagaimana komitmen dan apa program
Moderator,Pendidikan,1.31.26,yang akan dilakukan paselon untuk meningkatkan kesejahteraan serta
Moderator,Pendidikan,1.31.32,kompetensi guru dan dosen waktu Bapak 2 menit dimulai saat Bapak berbicara
Anis,Pendidikan,1.31.39,Terima kasih ketika kita berbicara tentang mencerdaskan kehidupan
Anis,Pendidikan,1.31.45,bangsa maka pendik menjadi kuncinya kita
Anis,Pendidikan,1.31.50,pendidik bisa mendidik anak-anak kita karena itu kita harus bertanggung jawab dengan penuh atas kesejahteraan pendidiknya
Anis,Pendidikan,1.31.58,agar dia bisa konsentrasi mendidik anak-anak kita prinsip itu harus dipegang oleh seluruh penanggung jawab
Anis,Pendidikan,1.32.05,kebijakan di seluruh Indonesia kalau kita punya pegangan itu maka terjemahannya mudah terjemahannya ada
Anis,Pendidikan,1.32.11,pertanyaan Apakah tenaga pendidikan pendidik di tempat Anda
Anis,Pendidikan,1.32.18,bertanggung jawab sudah mendapatkan penghasilan yang adil pengasilan yang
Anis,Pendidikan,1.32.23,setara jadi masalah-masalah yang kita miliki sekarang misalnya ada puluhan
Anis,Pendidikan,1.32.29,"ribu guru honorer belum diangkat jadi guru P3K ada 1,6 juta guru belum"
Anis,Pendidikan,1.32.34,tersertifikasi lalu beban administrasi itu semua bisa diselesaikan dengan prinsip tadi bahwa kita harus
Anis,Pendidikan,1.32.41,bertanggung jawab atas kesejahteraan pendidiknya jadi program yang menurut
Anis,Pendidikan,1.32.47,saya harus dikerjakan kita akan rencana kerjakan adalah percepatan sertifikasi guru pengangkatan 700 ribu guru honorer
Anis,Pendidikan,1.32.54,menjadi guru P3K kemudian beasiswa untuk anak guru dan anak dosen serta anak
Anis,Pendidikan,1.33.00,tenaga kependidikan jangan sampai mereka mendidik ratusan anak tapi anaknya tidak pernah bisa menyelesaikan pendidikan
Anis,Pendidikan,1.33.06,sampai tuntas kemudian penghargaan dan tunjangan bagi dosen dan peneliti yang
Anis,Pendidikan,1.33.11,berbasis pada kinerja dan yang tidak kalah penting adalah mengurangi beban administrasi dosen beban administrasinya
Anis,Pendidikan,1.33.19,luar biasa besar dosen itu mengajar meneliti pengabdian masyarakat tapi
Anis,Pendidikan,1.33.24,jangan diberikan beban administrasi yang terlalu besar jadi prinsipnya ada nilainya dulu yang kita pegang kemudian
Anis,Pendidikan,1.33.30,ada turunan teknisnya teknokrasi yang tadi saya sampaikan dan kemudian bebaskan dari beban-beban yang tidak
Anis,Pendidikan,1.33.37,perlu demikian jawaban kami terima kasih
Moderator,Pendidikan,1.33.45,Selanjutnya kami persilakan kepada calon Presiden Nomor urut 2 bapak prabowo subianto untuk menanggapi atas jawaban yang disampaikan
Moderator,Pendidikan,1.33.53,oleh Bapak anis rasyid baswedan waktu Bapak 1 menit dimulai saat Bapak berbicara
Prabowo,Pendidikan,1.34.00,secara garis besar ya secara objektif saya menilai e jawaban-jawaban Pak Anis baik bagus relevan saya banyak setuju dengan jawaban
Prabowo,Pendidikan,1.34.06,tersebut mungkin maklum beliau mantan menteri pendidikan begitu tapi
Prabowo,Pendidikan,1.34.12,enggak saya sangat sependapat saya menambahkan bahwa kita harus mengudit mengkaji
Prabowo,Pendidikan,1.34.19,Sekarang sistem kita ini baik atau tidak karena banyak sekali ee
Prabowo,Pendidikan,1.34.25,kebocoran-kebocoran dalam alokasi ee dana yang diturunkan sampai ke tingkat
Prabowo,Pendidikan,1.34.30,kabupaten dan sebagainya ini ee menyangkut memang masalah mental dan
Prabowo,Pendidikan,1.34.35,budaya banyak pejabat-pejabat kita jadi kita harus koreksi diri kita harus audit
Prabowo,Pendidikan,1.34.41,dan di mana masalah sistemik yang kurang baik harus kita perbaiki Kita harus
Prabowo,Pendidikan,1.34.46,berani memperbaiki sistem yang kurang baik terima kasih
Moderator,Pendidikan,1.34.52,Masih Ada Waktu Bapak Selanjutnya kami berikan
Moderator,Pendidikan,1.34.57,kesempatan kepada calon Presiden nomor urut 3 Bapak Ganjar pranowo untuk menanggapi atas jawaban yang disampaikan oleh Bapak Anis rasyid baswedan
Moderator,Pendidikan,1.35.04,waktu Bapak 1 menit dimulai saat Bapak berbicara 
Ganjar,Pendidikan,1.35.12,kalau pendidikan mau maju maka fasilitas mesti diberikan negara harus hadir dan makin inklusi nah Ketika kita bicara pada pendidiknya atau gurunya Saya mau bercerita pengalaman saja ketika guru
Ganjar,Pendidikan,1.35.19,SMA SMK SLB pada provinsi maka pada saat itu yang saya tanya pertama adalah
Ganjar,Pendidikan,1.35.25,Berapa gajimu 300 ribu Pak sungguh tidak adil pemerintah ini maka pada saat itu
Ganjar,Pendidikan,1.35.31,saya sampaikan kasih gaji sesuai UMP yang ada di Jawa Tengah UMK yang ada di
Ganjar,Pendidikan,1.35.37,Jawa Tengah tambah 10% baru kemudian kita dorong proses sertifikasi dan
Ganjar,Pendidikan,1.35.42,peningkatan kapasitas Kami punya aplikasi namanya bolpen ini bimbingan
Ganjar,Pendidikan,1.35.48,teknis online dan pendampingan untuk memberikan bantuan kepada guru memanfaatkan teknologi untuk memberikan
Ganjar,Pendidikan,1.35.55,pengajaran yang bermutu maka ketika praktik baik ini bisa kita lakukan maka
Ganjar,Pendidikan,1.36.00,guru akan bisa bekerja dengan baik dan dia mesti dibebaskan dari persoalan administrasi yang menjerat
Moderator,Pendidikan,1.36.07,selanjutnya calon Presiden
Moderator,Pendidikan,1.36.14,Nomor urut 1 bapak anis rasyid baswedan untuk merespon tanggapan dari calon Presiden nomor urut 2 dan juga calon Presiden
Moderator,Pendidikan,1.36.20,nomor urut 3 waktu Bapak 1 menit dimulai saat Bapak berbicara
Anis,Pendidikan,1.36.26,Terima kasih Pak Prabowo Terima kasih Pak Ganjar atas kesepemahaman ya terkait persoalan ini dan memang kita harus melihat pengeluaran di bidang pendidikan jangan
Anis,Pendidikan,1.36.33,dipandang sebagai cost sebagai biaya tapi pandanglah sebagai investasi Karena
Anis,Pendidikan,1.36.40,itu negara jangan pelit kalau bicara tentang investasi di bidang pendidikan dan jangan pelit kalau sama guru Jangan
Anis,Pendidikan,1.36.46,pernah kita memberikan yang seminim mungkin untuk guru berikan yang adil
Anis,Pendidikan,1.36.52,sehingga mereka bisa konsentrasi dan kami cerita sedikit yang kita kerjakan di Jakarta Paud guru-guru Paud
Anis,Pendidikan,1.36.58,mendapatkan hibah di Jakarta kemudian guru-guru agama kita berikan bantuan semua guru dan dosen di Jakarta bebas
Anis,Pendidikan,1.37.06,PBB rumahnya sebagai apa sebagai penghargaan dari negara untuk mereka Jadi kita berikan dukungan kepada guru
Anis,Pendidikan,1.37.13,dalam artian status dosen juga begitu kemudian penghasilannya dan kehormatannya pandang ini sebagai
Anis,Pendidikan,1.37.19,investasi untuk Indonesia menjadi negeri yang tercerdaskan Terima kasih
Moderator,Kesejahteraan Sosial dan Inklusi,1.37.24,baik hadirin dan juga pemirsa kita beralih ke calon Presiden Nomor urut 2 bapak
Moderator,Kesejahteraan Sosial dan Inklusi,1.37.30,prabowo subianto kami mohon kepada panelis untuk mengambil undian subtema di dalam fisbol kami persilakan kepada bapak
Moderator,Kesejahteraan Sosial dan Inklusi,1.37.38,timbar untuk bisa menuju ke wadah yang telah
Moderator,Kesejahteraan Sosial dan Inklusi,1.37.46,tersedia sambil diliatkan bapak kepada calon presiden dan juga ke kami moderator
Moderator,Kesejahteraan Sosial dan Inklusi,1.37.56,Kesejahteraan Sosial dan inklusi Selanjutnya kami mengundang
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.02,profor Asep Saifuddin jahar Ma PSD untuk bisa mengambil undian daftar Apakah
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.08,huruf a b atau c sambil diperlihatkan ke kamera huruf C dengan subtema
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.15,Kesejahteraan Sosial dan inklusi ya ini soalnya Kesejahteraan
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.21,Sosial dan inklusi masih tersegel Pak kita akan segera buka pertanyaan hanya
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.27,akan dibacakan satu kali mohon disimak dengan baik
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.33,negara beradab adalah negara yang memenuhi hak kelompok rentan termasuk
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.38,penyandang disabilitas pasal 5 undang-undang penyandang disabilitas di
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.44,antaranya mengatur tentang pemberian konsesi dan penyediaan data belum
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.49,terpenuhi pertanyaannya apa komitmen paslon dalam pemberian
Moderator,Kesejahteraan Sosial dan Inklusi,1.38.54,konsesi dan penyediaan data penyandang disabilitas silakan dijawab waktunya 2
Moderator,Kesejahteraan Sosial dan Inklusi,1.39.01,menit dimulai dari Anda berbicara
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.07,baik eh masalah ini adalah sangat penting dan saya sendiri sudah sejak
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.13,awal berjuang di bidang politik sebagai ketua umum gerindra kami yang mensponsori
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.20,undang-undang disabilitas kami termasuk yang mendorong ee itu ee lolos di DPR
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.27,jadi ee kami juga berkomitmen bahwa Ee Kita harus memberi pendidikan khusus
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.33,untuk mereka membantu saya juga sering mengirim tim-tim olahraga untuk
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.39,Olimpiade disabilitas eh sepak bola disabilitas dan sebagainya tapi intinya
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.44,adalah benar bahwa kita harus lebih e berpihak kepada mereka dan kita
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.50,berkomitmen untuk juga nanti merekrut mereka ini di dalam pekerjaan-pekerjaan
Prabowo,Kesejahteraan Sosial dan Inklusi,1.39.56,yang bisa mereka lakukan di pemerintahan dan juga di komunitas pertahanan ee ada
Prabowo,Kesejahteraan Sosial dan Inklusi,1.40.03,bidang-bidang yang mereka dapat melaksanakan sekarang kita juga bekerja
Prabowo,Kesejahteraan Sosial dan Inklusi,1.40.09,sama dengan pihak-pihak luar untuk e cari teknologi untuk membantu kaum
Prabowo,Kesejahteraan Sosial dan Inklusi,1.40.15,disabilitas antara lain untuk membantu mereka yang apa yang EE penglihatannya berkurang cukup banyak
Prabowo,Kesejahteraan Sosial dan Inklusi,1.40.23,ee yang penglihatannya EE sulit dan EE ini sekarang ada teknologi-teknologi
Prabowo,Kesejahteraan Sosial dan Inklusi,1.40.30,baru yang bisa membantu mereka bisa hidup mandiri dan bisa bekerja
Prabowo,Kesejahteraan Sosial dan Inklusi,1.40.35,ee hampir mendekati orang-orang normal jadi saya kira Bahwa masalah disabilitas
Prabowo,Kesejahteraan Sosial dan Inklusi,1.40.42,ini memang ee perlu ada suatu keberpihakan dari pemerintah Terima kasih
Moderator,Kesejahteraan Sosial dan Inklusi,1.40.48,masih ada waktunya Pak Prabowo cukup cukup baik selanjutnya saya akan kasih
Moderator,Kesejahteraan Sosial dan Inklusi,1.40.54,kesempatan untuk capres nomor 3 menanggapi waktunya 1 menit dimulai dari
Moderator,Kesejahteraan Sosial dan Inklusi,1.40.59,bapak berbicara
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.06,ini pertanyaannya soal data kan ya data dan komitmen kita terhadap data disabilitas yang pertama negara harus hadir tidak boleh alpa Yang kedua kita
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.14,mesti menyiapkan data dengan baik kenapa kami pakai KTP Sakti satu KTP saja kita
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.20,bisa profile semuanya termasuk disabilitas maka kalaulah satu data Indonesia lalu kita croping satu saja
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.27,terkait dengan disabilitas maka perlakuan kita bisa kita berikan apapun untuk mereka termasuk saya mau cerita
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.35,pengalaman saja ketika merancang pembangunan hadirkan mereka kasih ruang
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.40,pertama untuk mereka berpendapat maka pada saat itu semua akan mendengarkan
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.46,apa kebutuhan mereka itulah yang nantinya akan keluar menjadi kebijakan
Ganjar,Kesejahteraan Sosial dan Inklusi,1.41.51,publik Apa yang mesti disampaikan kepada mereka sehingga no one left behind ini diberikan dan mereka akan mendapatkan
Ganjar,Kesejahteraan Sosial dan Inklusi,1.42.00,apa yang dia inginkan gitu
Moderator,Kesejahteraan Sosial dan Inklusi,1.42.07,selanjutnya saya akan memberikan kesempatan untuk capres nomor urut 1 Pak Anis menanggapi jawaban dari Pak Prabowo
Moderator,Kesejahteraan Sosial dan Inklusi,1.42.12,waktunya 1 menit dimulai dari Anda berbicara
Anis,Kesejahteraan Sosial dan Inklusi,1.42.18,ya apa yang disampaikan Pak prabowo tadi baik izinkan kami meneruskan Pak prabowo data ini diperlukan komprehensif kita harus tahu berapa di
Anis,Kesejahteraan Sosial dan Inklusi,1.42.26,mana penyandang disabilitas dan disabilitasnya apa dan kita harus
Anis,Kesejahteraan Sosial dan Inklusi,1.42.31,melihat bahwa membantu penyandang disabilitas itu
Anis,Kesejahteraan Sosial dan Inklusi,1.42.37,bukan charity tapi pemenuhan hak asasinya dan tanggung jawab negara
Anis,Kesejahteraan Sosial dan Inklusi,1.42.42,karena itu Kami mengusulkan dan ini kami rencanakan bekerja bersama dengan dinas
Anis,Kesejahteraan Sosial dan Inklusi,1.42.48,di tiap wilayah lalu bekerja dengan Dasa wisna PKK yang tahu wilayahnya mereka
Anis,Kesejahteraan Sosial dan Inklusi,1.42.56,diminta mencatat sehingga tiap kabupaten kota Provinsi memiliki data tentang
Anis,Kesejahteraan Sosial dan Inklusi,1.43.02,penyandang disabilitas lalu alokasikan anggaran untuk memenuhi kebutuhannya
Anis,Kesejahteraan Sosial dan Inklusi,1.43.08,ketika dia bersekolah sekolahnya harus dimodifikasi maka dinas punya anggaran untuk modifikasi tidak membebani sekolah
Anis,Kesejahteraan Sosial dan Inklusi,1.43.14,jadi siapkan datanya siapkan anggarannya terima kasih
Moderator,Kesejahteraan Sosial dan Inklusi,1.43.19,selanjutnya bapak prabowo untuk merespon tanggapan dari kedua capres ini waktunya 1 menit Pak silakan
Prabowo,Kesejahteraan Sosial dan Inklusi,1.43.25,ya Sekali lagi Eh kedua masukannya juga sangat relevan Ya saya
Prabowo,Kesejahteraan Sosial dan Inklusi,1.43.32,juga sependapat eh tetapi memang sekali lagi bahwa
